Station,Year,Month,Day,Highest 60 Min Rainfall (mm)
Changi,2014,12,1,22.8
Changi,2014,12,2,0
Changi,2014,12,3,0
Changi,2014,12,4,9.2
Changi,2014,12,5,0
Changi,2014,12,6,26.6
Changi,2014,12,7,28.4
Changi,2014,12,8,0
Changi,2014,12,9,0
Changi,2014,12,10,0
Changi,2014,12,11,0
Changi,2014,12,12,0
Changi,2014,12,13,0
Changi,2014,12,14,0
Changi,2014,12,15,0
Changi,2014,12,16,2.2
Changi,2014,12,17,17.2
Changi,2014,12,18,0
Changi,2014,12,19,4
Changi,2014,12,20,0.4
Changi,2014,12,21,0.2
Changi,2014,12,22,0.6
Changi,2014,12,23,0.2
Changi,2014,12,24,0.6
Changi,2014,12,25,29.2
Changi,2014,12,26,18.2
Changi,2014,12,27,7.4
Changi,2014,12,28,1
Changi,2014,12,29,1.8
Changi,2014,12,30,0
Changi,2014,12,31,0
Changi,2015,12,1,26.2
Changi,2015,12,2,0.2
Changi,2015,12,3,0
Changi,2015,12,4,0
Changi,2015,12,5,6
Changi,2015,12,6,4
Changi,2015,12,7,0
Changi,2015,12,8,15.8
Changi,2015,12,9,1
Changi,2015,12,10,26
Changi,2015,12,11,10.2
Changi,2015,12,12,16.8
Changi,2015,12,13,3.4
Changi,2015,12,14,0.4
Changi,2015,12,15,0
Changi,2015,12,16,0.2
Changi,2015,12,17,0
Changi,2015,12,18,8.2
Changi,2015,12,19,0
Changi,2015,12,20,0
Changi,2015,12,21,0
Changi,2015,12,22,4.8
Changi,2015,12,23,21.4
Changi,2015,12,24,31.6
Changi,2015,12,25,0
Changi,2015,12,26,0
Changi,2015,12,27,0
Changi,2015,12,28,0
Changi,2015,12,29,23
Changi,2015,12,30,1.2
Changi,2015,12,31,5.4
Changi,2016,12,1,11.6
Changi,2016,12,2,1
Changi,2016,12,3,0.8
Changi,2016,12,4,18.6
Changi,2016,12,5,0.8
Changi,2016,12,6,10.6
Changi,2016,12,7,32.8
Changi,2016,12,8,0
Changi,2016,12,9,15
Changi,2016,12,10,2
Changi,2016,12,11,7
Changi,2016,12,12,0
Changi,2016,12,13,0
Changi,2016,12,14,0.2
Changi,2016,12,15,0
Changi,2016,12,16,2.4
Changi,2016,12,17,20.4
Changi,2016,12,18,2.4
Changi,2016,12,19,3.8
Changi,2016,12,20,0
Changi,2016,12,21,3
Changi,2016,12,22,9.6
Changi,2016,12,23,17.6
Changi,2016,12,24,43
Changi,2016,12,25,8.2
Changi,2016,12,26,0
Changi,2016,12,27,0.4
Changi,2016,12,28,1.2
Changi,2016,12,29,0
Changi,2016,12,30,1
Changi,2016,12,31,0
Changi,2017,12,1,0
Changi,2017,12,2,1
Changi,2017,12,3,0.6
Changi,2017,12,4,12.8
Changi,2017,12,5,3.2
Changi,2017,12,6,2.2
Changi,2017,12,7,13.6
Changi,2017,12,8,0
Changi,2017,12,9,0.6
Changi,2017,12,10,7.8
Changi,2017,12,11,4
Changi,2017,12,12,11.2
Changi,2017,12,13,61
Changi,2017,12,14,0.8
Changi,2017,12,15,18
Changi,2017,12,16,0
Changi,2017,12,17,0
Changi,2017,12,18,0.4
Changi,2017,12,19,0.2
Changi,2017,12,20,0
Changi,2017,12,21,0
Changi,2017,12,22,43.6
Changi,2017,12,23,2.2
Changi,2017,12,24,0
Changi,2017,12,25,13
Changi,2017,12,26,4.8
Changi,2017,12,27,9.2
Changi,2017,12,28,9
Changi,2017,12,29,0
Changi,2017,12,30,3
Changi,2017,12,31,26
Changi,2018,12,1,3.6
Changi,2018,12,2,0.2
Changi,2018,12,3,2
Changi,2018,12,4,0
Changi,2018,12,5,2.6
Changi,2018,12,6,3.2
Changi,2018,12,7,0.8
Changi,2018,12,8,0
Changi,2018,12,9,0
Changi,2018,12,10,0.2
Changi,2018,12,11,24.2
Changi,2018,12,12,0.2
Changi,2018,12,13,0
Changi,2018,12,14,0
Changi,2018,12,15,0
Changi,2018,12,16,33
Changi,2018,12,17,0
Changi,2018,12,18,0.2
Changi,2018,12,19,0.2
Changi,2018,12,20,13.8
Changi,2018,12,21,3
Changi,2018,12,22,0
Changi,2018,12,23,0.6
Changi,2018,12,24,0
Changi,2018,12,25,0.2
Changi,2018,12,26,0.2
Changi,2018,12,27,0
Changi,2018,12,28,0
Changi,2018,12,29,0
Changi,2018,12,30,14.8
Changi,2018,12,31,25.6
Changi,2019,12,1,0
Changi,2019,12,2,47.2
Changi,2019,12,3,0
Changi,2019,12,4,0
Changi,2019,12,5,0
Changi,2019,12,6,0
Changi,2019,12,7,0.2
Changi,2019,12,8,2.2
Changi,2019,12,9,26.2
Changi,2019,12,10,13
Changi,2019,12,11,14
Changi,2019,12,12,3
Changi,2019,12,13,20.4
Changi,2019,12,14,9.2
Changi,2019,12,15,23.2
Changi,2019,12,16,0
Changi,2019,12,17,5.6
Changi,2019,12,18,20
Changi,2019,12,19,0
Changi,2019,12,20,0
Changi,2019,12,21,3.9
Changi,2019,12,22,0
Changi,2019,12,23,2.8
Changi,2019,12,24,0
Changi,2019,12,25,0
Changi,2019,12,26,0
Changi,2019,12,27,0
Changi,2019,12,28,0
Changi,2019,12,29,0
Changi,2019,12,30,0
Changi,2019,12,31,0
Changi,2020,12,1,0.2
Changi,2020,12,2,4.6
Changi,2020,12,3,12.8
Changi,2020,12,4,0.4
Changi,2020,12,5,0
Changi,2020,12,6,0
Changi,2020,12,7,9.4
Changi,2020,12,8,0
Changi,2020,12,9,52.8
Changi,2020,12,10,39
Changi,2020,12,11,0.2
Changi,2020,12,12,17.2
Changi,2020,12,13,0.8
Changi,2020,12,14,13.4
Changi,2020,12,15,0
Changi,2020,12,16,7.4
Changi,2020,12,17,0
Changi,2020,12,18,13.8
Changi,2020,12,19,0.6
Changi,2020,12,20,1.6
Changi,2020,12,21,0
Changi,2020,12,22,0
Changi,2020,12,23,3.6
Changi,2020,12,24,7.4
Changi,2020,12,25,14
Changi,2020,12,26,1.2
Changi,2020,12,27,2.2
Changi,2020,12,28,0
Changi,2020,12,29,2.6
Changi,2020,12,30,0
Changi,2020,12,31,0
Changi,2021,12,1,0.2
Changi,2021,12,2,9.6
Changi,2021,12,3,0.2
Changi,2021,12,4,0
Changi,2021,12,5,0
Changi,2021,12,6,0
Changi,2021,12,7,0
Changi,2021,12,8,0
Changi,2021,12,9,0
Changi,2021,12,10,5
Changi,2021,12,11,6.4
Changi,2021,12,12,0
Changi,2021,12,13,0.2
Changi,2021,12,14,0
Changi,2021,12,15,0.6
Changi,2021,12,16,0
Changi,2021,12,17,5.2
Changi,2021,12,18,41.4
Changi,2021,12,19,11
Changi,2021,12,20,0
Changi,2021,12,21,0
Changi,2021,12,22,0
Changi,2021,12,23,0.4
Changi,2021,12,24,6.2
Changi,2021,12,25,1.4
Changi,2021,12,26,0
Changi,2021,12,27,0
Changi,2021,12,28,0
Changi,2021,12,29,0.6
Changi,2021,12,30,0
Changi,2021,12,31,2.8
Changi,2022,12,1,13.2
Changi,2022,12,2,6.2
Changi,2022,12,3,2.6
Changi,2022,12,4,9.2
Changi,2022,12,5,8
Changi,2022,12,6,0
Changi,2022,12,7,5
Changi,2022,12,8,19.4
Changi,2022,12,9,0
Changi,2022,12,10,0
Changi,2022,12,11,19.2
Changi,2022,12,12,0
Changi,2022,12,13,3.4
Changi,2022,12,14,7.6
Changi,2022,12,15,2
Changi,2022,12,16,7.2
Changi,2022,12,17,36.6
Changi,2022,12,18,6.4
Changi,2022,12,19,0.2
Changi,2022,12,20,0
Changi,2022,12,21,0
Changi,2022,12,22,8.4
Changi,2022,12,23,0.2
Changi,2022,12,24,0
Changi,2022,12,25,0
Changi,2022,12,26,0
Changi,2022,12,27,0
Changi,2022,12,28,0.2
Changi,2022,12,29,11.4
Changi,2022,12,30,0
Changi,2022,12,31,0
