Station,Year,Month,Day,Highest 60 Min Rainfall (mm)
Changi,2014,1,1,0
Changi,2014,1,2,0
Changi,2014,1,3,0
Changi,2014,1,4,0
Changi,2014,1,5,10.8
Changi,2014,1,6,10.8
Changi,2014,1,7,0
Changi,2014,1,8,0
Changi,2014,1,9,2
Changi,2014,1,10,0
Changi,2014,1,11,5.6
Changi,2014,1,12,18.2
Changi,2014,1,13,0
Changi,2014,1,14,0
Changi,2014,1,15,0
Changi,2014,1,16,0
Changi,2014,1,17,0
Changi,2014,1,18,0
Changi,2014,1,19,0
Changi,2014,1,20,0
Changi,2014,1,21,0
Changi,2014,1,22,0
Changi,2014,1,23,0
Changi,2014,1,24,0
Changi,2014,1,25,0
Changi,2014,1,26,0
Changi,2014,1,27,0
Changi,2014,1,28,0
Changi,2014,1,29,0
Changi,2014,1,30,0
Changi,2014,1,31,0
Changi,2015,1,1,0.6
Changi,2015,1,2,0
Changi,2015,1,3,0
Changi,2015,1,4,0
Changi,2015,1,5,0
Changi,2015,1,6,13.6
Changi,2015,1,7,18.6
Changi,2015,1,8,0.2
Changi,2015,1,9,0.2
Changi,2015,1,10,28.2
Changi,2015,1,11,0
Changi,2015,1,12,0
Changi,2015,1,13,0
Changi,2015,1,14,0
Changi,2015,1,15,0
Changi,2015,1,16,0
Changi,2015,1,17,0
Changi,2015,1,18,0
Changi,2015,1,19,0
Changi,2015,1,20,0
Changi,2015,1,21,0
Changi,2015,1,22,0
Changi,2015,1,23,0
Changi,2015,1,24,0
Changi,2015,1,25,0
Changi,2015,1,26,0
Changi,2015,1,27,0
Changi,2015,1,28,0
Changi,2015,1,29,0
Changi,2015,1,30,0
Changi,2015,1,31,0
Changi,2016,1,1,0.6
Changi,2016,1,2,31
Changi,2016,1,3,6
Changi,2016,1,4,0
Changi,2016,1,5,0
Changi,2016,1,6,0
Changi,2016,1,7,0
Changi,2016,1,8,0
Changi,2016,1,9,1.8
Changi,2016,1,10,0
Changi,2016,1,11,0
Changi,2016,1,12,0
Changi,2016,1,13,0
Changi,2016,1,14,0.2
Changi,2016,1,15,5.4
Changi,2016,1,16,11.4
Changi,2016,1,17,29.4
Changi,2016,1,18,2.6
Changi,2016,1,19,2
Changi,2016,1,20,0.6
Changi,2016,1,21,0.4
Changi,2016,1,22,0
Changi,2016,1,23,0
Changi,2016,1,24,0
Changi,2016,1,25,2.4
Changi,2016,1,26,2.4
Changi,2016,1,27,1
Changi,2016,1,28,0
Changi,2016,1,29,0
Changi,2016,1,30,0
Changi,2016,1,31,0
Changi,2017,1,1,0.8
Changi,2017,1,2,0
Changi,2017,1,3,0.6
Changi,2017,1,4,2.8
Changi,2017,1,5,0.6
Changi,2017,1,6,0
Changi,2017,1,7,0
Changi,2017,1,8,0.6
Changi,2017,1,9,0
Changi,2017,1,10,2
Changi,2017,1,11,24
Changi,2017,1,12,0
Changi,2017,1,13,0
Changi,2017,1,14,0.4
Changi,2017,1,15,10.6
Changi,2017,1,16,3
Changi,2017,1,17,0
Changi,2017,1,18,6
Changi,2017,1,19,15.8
Changi,2017,1,20,4.6
Changi,2017,1,21,5
Changi,2017,1,22,30.6
Changi,2017,1,23,15.2
Changi,2017,1,24,3.2
Changi,2017,1,25,0
Changi,2017,1,26,1.4
Changi,2017,1,27,0
Changi,2017,1,28,1
Changi,2017,1,29,0.4
Changi,2017,1,30,2.2
Changi,2017,1,31,0
Changi,2018,1,1,11.6
Changi,2018,1,2,0.4
Changi,2018,1,3,2
Changi,2018,1,4,0.2
Changi,2018,1,5,1
Changi,2018,1,6,0
Changi,2018,1,7,0
Changi,2018,1,8,35
Changi,2018,1,9,1.8
Changi,2018,1,10,6.2
Changi,2018,1,11,1.4
Changi,2018,1,12,1.4
Changi,2018,1,13,12.2
Changi,2018,1,14,2.2
Changi,2018,1,15,0.8
Changi,2018,1,16,0
Changi,2018,1,17,0
Changi,2018,1,18,0
Changi,2018,1,19,2.6
Changi,2018,1,20,22.4
Changi,2018,1,21,0.6
Changi,2018,1,22,5.6
Changi,2018,1,23,3.4
Changi,2018,1,24,0.8
Changi,2018,1,25,0.6
Changi,2018,1,26,0.6
Changi,2018,1,27,6
Changi,2018,1,28,7.8
Changi,2018,1,29,0
Changi,2018,1,30,34
Changi,2018,1,31,2.6
Changi,2019,1,1,0
Changi,2019,1,2,0
Changi,2019,1,3,0
Changi,2019,1,4,0
Changi,2019,1,5,0
Changi,2019,1,6,0
Changi,2019,1,7,0
Changi,2019,1,8,0.6
Changi,2019,1,9,0
Changi,2019,1,10,0
Changi,2019,1,11,3.2
Changi,2019,1,12,0
Changi,2019,1,13,0
Changi,2019,1,14,0
Changi,2019,1,15,0
Changi,2019,1,16,0
Changi,2019,1,17,9.4
Changi,2019,1,18,13.4
Changi,2019,1,19,0
Changi,2019,1,20,0
Changi,2019,1,21,1.4
Changi,2019,1,22,0
Changi,2019,1,23,0.2
Changi,2019,1,24,0
Changi,2019,1,25,0.4
Changi,2019,1,26,0
Changi,2019,1,27,0
Changi,2019,1,28,0.4
Changi,2019,1,29,0.2
Changi,2019,1,30,0
Changi,2019,1,31,0
Changi,2020,1,1,0
Changi,2020,1,2,0
Changi,2020,1,3,0
Changi,2020,1,4,0
Changi,2020,1,5,0
Changi,2020,1,6,4.2
Changi,2020,1,7,1.6
Changi,2020,1,8,0
Changi,2020,1,9,0
Changi,2020,1,10,2.4
Changi,2020,1,11,0
Changi,2020,1,12,0
Changi,2020,1,13,0
Changi,2020,1,14,0
Changi,2020,1,15,0
Changi,2020,1,16,0
Changi,2020,1,17,0
Changi,2020,1,18,0
Changi,2020,1,19,0
Changi,2020,1,20,0
Changi,2020,1,21,5.6
Changi,2020,1,22,0
Changi,2020,1,23,0
Changi,2020,1,24,0
Changi,2020,1,25,0
Changi,2020,1,26,0
Changi,2020,1,27,22.2
Changi,2020,1,28,0
Changi,2020,1,29,10.8
Changi,2020,1,30,0
Changi,2020,1,31,0
Changi,2021,1,1,29.6
Changi,2021,1,2,40.2
Changi,2021,1,3,2
Changi,2021,1,4,0
Changi,2021,1,5,4.2
Changi,2021,1,6,0.6
Changi,2021,1,7,3.6
Changi,2021,1,8,21.6
Changi,2021,1,9,11.8
Changi,2021,1,10,36.8
Changi,2021,1,11,0.8
Changi,2021,1,12,9
Changi,2021,1,13,1
Changi,2021,1,14,0.2
Changi,2021,1,15,0
Changi,2021,1,16,0
Changi,2021,1,17,0
Changi,2021,1,18,0
Changi,2021,1,19,0
Changi,2021,1,20,0
Changi,2021,1,21,0.6
Changi,2021,1,22,3.2
Changi,2021,1,23,27.2
Changi,2021,1,24,0
Changi,2021,1,25,0
Changi,2021,1,26,0
Changi,2021,1,27,0
Changi,2021,1,28,10.8
Changi,2021,1,29,0
Changi,2021,1,30,0
Changi,2021,1,31,0.6
Changi,2022,1,1,11.8
Changi,2022,1,2,14.6
Changi,2022,1,3,5.2
Changi,2022,1,4,3.4
Changi,2022,1,5,1
Changi,2022,1,6,0
Changi,2022,1,7,0
Changi,2022,1,8,0
Changi,2022,1,9,0
Changi,2022,1,10,0
Changi,2022,1,11,0
Changi,2022,1,12,0
Changi,2022,1,13,0
Changi,2022,1,14,0
Changi,2022,1,15,0
Changi,2022,1,16,0
Changi,2022,1,17,2.6
Changi,2022,1,18,0
Changi,2022,1,19,2.4
Changi,2022,1,20,1.2
Changi,2022,1,21,0
