Station,Year,Month,Day,Highest 60 Min Rainfall (mm)
Changi,2014,11,1,4.4
Changi,2014,11,2,0
Changi,2014,11,3,0
Changi,2014,11,4,0
Changi,2014,11,5,20.2
Changi,2014,11,6,8.6
Changi,2014,11,7,4.8
Changi,2014,11,8,20
Changi,2014,11,9,3.8
Changi,2014,11,10,1.2
Changi,2014,11,11,4.4
Changi,2014,11,12,0.2
Changi,2014,11,13,60.4
Changi,2014,11,14,0.2
Changi,2014,11,15,11.4
Changi,2014,11,16,7.8
Changi,2014,11,17,0.2
Changi,2014,11,18,4
Changi,2014,11,19,0
Changi,2014,11,20,0
Changi,2014,11,21,0.2
Changi,2014,11,22,1.4
Changi,2014,11,23,3.2
Changi,2014,11,24,0.8
Changi,2014,11,25,0.2
Changi,2014,11,26,38.4
Changi,2014,11,27,0
Changi,2014,11,28,0.4
Changi,2014,11,29,0.4
Changi,2014,11,30,0
Changi,2015,11,1,0.2
Changi,2015,11,2,0.2
Changi,2015,11,3,0
Changi,2015,11,4,0
Changi,2015,11,5,0
Changi,2015,11,6,0
Changi,2015,11,7,1.4
Changi,2015,11,8,0
Changi,2015,11,9,1.4
Changi,2015,11,10,0
Changi,2015,11,11,0
Changi,2015,11,12,0
Changi,2015,11,13,0
Changi,2015,11,14,0
Changi,2015,11,15,0
Changi,2015,11,16,0.8
Changi,2015,11,17,6.8
Changi,2015,11,18,0
Changi,2015,11,19,0
Changi,2015,11,20,0.2
Changi,2015,11,21,0
Changi,2015,11,22,0
Changi,2015,11,23,0
Changi,2015,11,24,18
Changi,2015,11,25,2.2
Changi,2015,11,26,0.6
Changi,2015,11,27,0.4
Changi,2015,11,28,0
Changi,2015,11,29,2
Changi,2015,11,30,25.4
Changi,2016,11,1,23
Changi,2016,11,2,0.6
Changi,2016,11,3,18
Changi,2016,11,4,0
Changi,2016,11,5,1.8
Changi,2016,11,6,0
Changi,2016,11,7,0.8
Changi,2016,11,8,0
Changi,2016,11,9,45.2
Changi,2016,11,10,10.6
Changi,2016,11,11,3.8
Changi,2016,11,12,4.8
Changi,2016,11,13,0
Changi,2016,11,14,52.8
Changi,2016,11,15,0
Changi,2016,11,16,21.6
Changi,2016,11,17,24.6
Changi,2016,11,18,1
Changi,2016,11,19,0.8
Changi,2016,11,20,2
Changi,2016,11,21,0
Changi,2016,11,22,1.4
Changi,2016,11,23,0.8
Changi,2016,11,24,0
Changi,2016,11,25,1.8
Changi,2016,11,26,2.2
Changi,2016,11,27,0
Changi,2016,11,28,0
Changi,2016,11,29,0.4
Changi,2016,11,30,0
Changi,2017,11,1,0.4
Changi,2017,11,2,0
Changi,2017,11,3,1.4
Changi,2017,11,4,1.8
Changi,2017,11,5,0.6
Changi,2017,11,6,34
Changi,2017,11,7,1
Changi,2017,11,8,0.2
Changi,2017,11,9,22.8
Changi,2017,11,10,9.8
Changi,2017,11,11,8.2
Changi,2017,11,12,18.8
Changi,2017,11,13,2.2
Changi,2017,11,14,27.4
Changi,2017,11,15,0
Changi,2017,11,16,18
Changi,2017,11,17,2.6
Changi,2017,11,18,10.4
Changi,2017,11,19,0.2
Changi,2017,11,20,7
Changi,2017,11,21,8.6
Changi,2017,11,22,0
Changi,2017,11,23,5.2
Changi,2017,11,24,0.8
Changi,2017,11,25,0
Changi,2017,11,26,0
Changi,2017,11,27,1.6
Changi,2017,11,28,0.4
Changi,2017,11,29,9.2
Changi,2017,11,30,0
Changi,2018,11,1,0.2
Changi,2018,11,2,4
Changi,2018,11,3,0.4
Changi,2018,11,4,3
Changi,2018,11,5,0.4
Changi,2018,11,6,2.8
Changi,2018,11,7,10
Changi,2018,11,8,4.2
Changi,2018,11,9,1.6
Changi,2018,11,10,0
Changi,2018,11,11,0.4
Changi,2018,11,12,12.4
Changi,2018,11,13,2.2
Changi,2018,11,14,1.2
Changi,2018,11,15,2.4
Changi,2018,11,16,0.8
Changi,2018,11,17,16.4
Changi,2018,11,18,5.2
Changi,2018,11,19,19.8
Changi,2018,11,20,4
Changi,2018,11,21,11.4
Changi,2018,11,22,1.2
Changi,2018,11,23,4
Changi,2018,11,24,0
Changi,2018,11,25,4.8
Changi,2018,11,26,13.4
Changi,2018,11,27,7
Changi,2018,11,28,0
Changi,2018,11,29,4
Changi,2018,11,30,3.6
Changi,2019,11,1,14.6
Changi,2019,11,2,0
Changi,2019,11,3,0
Changi,2019,11,4,3.8
Changi,2019,11,5,0
Changi,2019,11,6,0.2
Changi,2019,11,7,0
Changi,2019,11,8,1.2
Changi,2019,11,9,0
Changi,2019,11,10,0
Changi,2019,11,11,0
Changi,2019,11,12,0
Changi,2019,11,13,0
Changi,2019,11,14,0
Changi,2019,11,15,1.2
Changi,2019,11,16,0
Changi,2019,11,17,0
Changi,2019,11,18,0.2
Changi,2019,11,19,0
Changi,2019,11,20,2.4
Changi,2019,11,21,0.6
Changi,2019,11,22,0.4
Changi,2019,11,23,0.4
Changi,2019,11,24,16.2
Changi,2019,11,25,0
Changi,2019,11,26,0
Changi,2019,11,27,1.6
Changi,2019,11,28,9
Changi,2019,11,29,48.8
Changi,2019,11,30,9.4
Changi,2020,11,1,0
Changi,2020,11,2,33.6
Changi,2020,11,3,0
Changi,2020,11,4,46.4
Changi,2020,11,5,0
Changi,2020,11,6,0
Changi,2020,11,7,2.8
Changi,2020,11,8,0.2
Changi,2020,11,9,3.8
Changi,2020,11,10,6.8
Changi,2020,11,11,0
Changi,2020,11,12,0
Changi,2020,11,13,0
Changi,2020,11,14,3.6
Changi,2020,11,15,7.4
Changi,2020,11,16,4.6
