,month,maximum_rainfall_in_a_day,no_of_rainy_days,total_rainfall
0,1982-01,36.5,10.0,107.1
1,1982-02,9.4,5.0,27.8
2,1982-03,61.7,11.0,160.8
3,1982-04,45.1,14.0,157.0
4,1982-05,33.0,10.0,102.2
5,1982-06,20.6,8.0,59.5
6,1982-07,17.2,8.0,76.3
7,1982-08,57.7,11.0,169.5
8,1982-09,18.0,9.0,54.1
9,1982-10,10.0,10.0,39.3
10,1982-11,39.6,13.0,134.0
11,1982-12,109.0,21.0,494.1
12,1983-01,43.2,18.0,246.0
13,1983-02,5.1,2.0,5.6
14,1983-03,18.3,2.0,18.6
15,1983-04,21.3,4.0,33.6
16,1983-05,32.3,11.0,160.8
17,1983-06,27.7,11.0,94.0
18,1983-07,55.5,18.0,190.0
19,1983-08,181.8,10.0,262.2
20,1983-09,50.3,18.0,170.8
21,1983-10,40.0,17.0,212.7
22,1983-11,54.8,18.0,228.8
23,1983-12,164.4,16.0,370.6
24,1984-01,62.3,18.0,251.2
25,1984-02,154.4,19.0,470.4
26,1984-03,119.4,19.0,361.3
27,1984-04,38.7,17.0,153.1
28,1984-05,46.0,12.0,186.5
29,1984-06,121.1,14.0,255.0
30,1984-07,49.2,12.0,127.2
31,1984-08,22.5,13.0,102.7
32,1984-09,46.5,17.0,186.7
33,1984-10,47.2,11.0,187.5
34,1984-11,35.4,17.0,127.7
35,1984-12,58.4,22.0,277.4
36,1985-01,35.5,7.0,111.1
37,1985-02,18.7,11.0,79.3
38,1985-03,23.8,13.0,88.0
39,1985-04,29.3,14.0,110.5
40,1985-05,36.2,12.0,70.1
41,1985-06,9.9,14.0,37.0
42,1985-07,32.2,17.0,131.8
43,1985-08,21.4,11.0,56.9
44,1985-09,22.0,18.0,110.7
45,1985-10,30.2,21.0,169.0
46,1985-11,38.2,21.0,179.4
47,1985-12,86.8,22.0,340.1
48,1986-01,95.6,13.0,308.2
49,1986-02,23.0,2.0,26.7
50,1986-03,71.1,17.0,353.4
51,1986-04,56.4,14.0,150.0
52,1986-05,51.3,13.0,145.1
53,1986-06,34.5,13.0,122.9
54,1986-07,23.5,12.0,109.7
55,1986-08,28.4,11.0,72.9
56,1986-09,97.6,22.0,396.0
57,1986-10,65.6,20.0,227.3
58,1986-11,40.5,21.0,256.7
59,1986-12,131.7,16.0,367.2
60,1987-01,127.4,16.0,568.6
61,1987-02,34.8,7.0,86.9
62,1987-03,40.9,12.0,132.5
63,1987-04,27.7,10.0,72.5
64,1987-05,81.4,16.0,270.0
65,1987-06,30.7,15.0,126.6
66,1987-07,21.6,11.0,80.9
67,1987-08,48.2,16.0,191.9
68,1987-09,44.5,11.0,129.9
69,1987-10,5.9,9.0,22.6
70,1987-11,77.7,17.0,347.6
71,1987-12,24.3,11.0,72.8
72,1988-01,69.0,15.0,237.5
73,1988-02,46.7,9.0,158.1
74,1988-03,70.1,15.0,186.8
75,1988-04,22.8,13.0,109.6
76,1988-05,76.7,14.0,229.6
77,1988-06,69.4,13.0,252.2
78,1988-07,75.6,15.0,305.4
79,1988-08,19.0,14.0,80.1
80,1988-09,187.3,14.0,440.4
81,1988-10,39.8,17.0,134.6
82,1988-11,111.9,23.0,401.4
83,1988-12,22.0,11.0,62.9
84,1989-01,53.0,10.0,189.7
85,1989-02,48.4,3.0,52.4
86,1989-03,63.5,21.0,305.9
87,1989-04,39.0,17.0,198.6
88,1989-05,38.2,12.0,194.0
89,1989-06,45.9,12.0,117.6
90,1989-07,33.3,12.0,157.6
91,1989-08,81.4,18.0,201.0
92,1989-09,102.2,14.0,247.3
93,1989-10,24.9,16.0,111.0
94,1989-11,148.6,20.0,508.4
95,1989-12,44.2,18.0,179.7
96,1990-01,73.9,13.0,147.4
97,1990-02,6.6,8.0,24.1
98,1990-03,48.6,4.0,94.2
99,1990-04,12.0,10.0,52.4
100,1990-05,153.7,11.0,180.1
101,1990-06,76.1,9.0,112.6
102,1990-07,44.5,12.0,124.0
103,1990-08,38.3,13.0,146.6
104,1990-09,44.5,17.0,204.5
